Date,Dubai_Premium_USD_oz,Source
2016-01-01,0.80,Estimated from Reuters/LBMA market reports
2016-02-01,0.80,Estimated from Reuters/LBMA market reports
2016-03-01,0.50,Estimated from Reuters/LBMA market reports
2016-04-01,0.50,Estimated from Reuters/LBMA market reports
2016-05-01,0.50,Estimated from Reuters/LBMA market reports
2016-06-01,0.10,Estimated from Reuters/LBMA market reports
2016-07-01,0.10,Estimated from Reuters/LBMA market reports
2016-08-01,0.50,Estimated from Reuters/LBMA market reports
2016-09-01,0.50,Estimated from Reuters/LBMA market reports
2016-10-01,1.30,Estimated from Reuters/LBMA market reports
2016-11-01,1.30,Estimated from Reuters/LBMA market reports
2016-12-01,0.50,Estimated from Reuters/LBMA market reports
2017-01-01,0.80,Estimated from Reuters/LBMA market reports
2017-02-01,0.80,Estimated from Reuters/LBMA market reports
2017-03-01,0.50,Estimated from Reuters/LBMA market reports
2017-04-01,0.50,Estimated from Reuters/LBMA market reports
2017-05-01,0.50,Estimated from Reuters/LBMA market reports
2017-06-01,0.10,Estimated from Reuters/LBMA market reports
2017-07-01,0.10,Estimated from Reuters/LBMA market reports
2017-08-01,0.50,Estimated from Reuters/LBMA market reports
2017-09-01,0.50,Estimated from Reuters/LBMA market reports
2017-10-01,1.30,Estimated from Reuters/LBMA market reports
2017-11-01,1.30,Estimated from Reuters/LBMA market reports
2017-12-01,0.50,Estimated from Reuters/LBMA market reports
2018-01-01,0.80,Estimated from Reuters/LBMA market reports
2018-02-01,0.80,Estimated from Reuters/LBMA market reports
2018-03-01,0.50,Estimated from Reuters/LBMA market reports
2018-04-01,0.50,Estimated from Reuters/LBMA market reports
2018-05-01,0.50,Estimated from Reuters/LBMA market reports
2018-06-01,0.10,Estimated from Reuters/LBMA market reports
2018-07-01,0.10,Estimated from Reuters/LBMA market reports
2018-08-01,0.50,Estimated from Reuters/LBMA market reports
2018-09-01,0.50,Estimated from Reuters/LBMA market reports
2018-10-01,1.30,Estimated from Reuters/LBMA market reports
2018-11-01,1.30,Estimated from Reuters/LBMA market reports
2018-12-01,0.50,Estimated from Reuters/LBMA market reports
2019-01-01,1.05,Estimated from Reuters/LBMA market reports
2019-02-01,1.05,Estimated from Reuters/LBMA market reports
2019-03-01,0.75,Estimated from Reuters/LBMA market reports
2019-04-01,0.75,Estimated from Reuters/LBMA market reports
2019-05-01,0.75,Estimated from Reuters/LBMA market reports
2019-06-01,0.35,Estimated from Reuters/LBMA market reports
2019-07-01,0.35,Estimated from Reuters/LBMA market reports
2019-08-01,0.75,Estimated from Reuters/LBMA market reports
2019-09-01,0.75,Estimated from Reuters/LBMA market reports
2019-10-01,1.55,Estimated from Reuters/LBMA market reports
2019-11-01,1.55,Estimated from Reuters/LBMA market reports
2019-12-01,0.75,Estimated from Reuters/LBMA market reports
2020-01-01,-1.20,Estimated from Reuters/LBMA market reports
2020-02-01,-1.20,Estimated from Reuters/LBMA market reports
2020-03-01,-1.50,Estimated from Reuters/LBMA market reports
2020-04-01,-1.50,Estimated from Reuters/LBMA market reports
2020-05-01,-0.50,Estimated from Reuters/LBMA market reports
2020-06-01,-0.90,Estimated from Reuters/LBMA market reports
2020-07-01,-0.90,Estimated from Reuters/LBMA market reports
2020-08-01,-0.50,Estimated from Reuters/LBMA market reports
2020-09-01,1.00,Estimated from Reuters/LBMA market reports
2020-10-01,1.80,Estimated from Reuters/LBMA market reports
2020-11-01,1.80,Estimated from Reuters/LBMA market reports
2020-12-01,1.00,Estimated from Reuters/LBMA market reports
2021-01-01,0.80,Estimated from Reuters/LBMA market reports
2021-02-01,0.80,Estimated from Reuters/LBMA market reports
2021-03-01,0.50,Estimated from Reuters/LBMA market reports
2021-04-01,0.50,Estimated from Reuters/LBMA market reports
2021-05-01,0.50,Estimated from Reuters/LBMA market reports
2021-06-01,0.10,Estimated from Reuters/LBMA market reports
2021-07-01,0.10,Estimated from Reuters/LBMA market reports
2021-08-01,0.50,Estimated from Reuters/LBMA market reports
2021-09-01,0.50,Estimated from Reuters/LBMA market reports
2021-10-01,1.30,Estimated from Reuters/LBMA market reports
2021-11-01,1.30,Estimated from Reuters/LBMA market reports
2021-12-01,0.50,Estimated from Reuters/LBMA market reports
2022-01-01,1.30,Estimated from Reuters/LBMA market reports
2022-02-01,1.30,Estimated from Reuters/LBMA market reports
2022-03-01,1.00,Estimated from Reuters/LBMA market reports
2022-04-01,1.00,Estimated from Reuters/LBMA market reports
2022-05-01,1.00,Estimated from Reuters/LBMA market reports
2022-06-01,0.60,Estimated from Reuters/LBMA market reports
2022-07-01,0.60,Estimated from Reuters/LBMA market reports
2022-08-01,1.00,Estimated from Reuters/LBMA market reports
2022-09-01,1.00,Estimated from Reuters/LBMA market reports
2022-10-01,1.80,Estimated from Reuters/LBMA market reports
2022-11-01,1.80,Estimated from Reuters/LBMA market reports
2022-12-01,1.00,Estimated from Reuters/LBMA market reports
2023-01-01,1.80,Estimated from Reuters/LBMA market reports
2023-02-01,1.80,Estimated from Reuters/LBMA market reports
2023-03-01,1.50,Estimated from Reuters/LBMA market reports
2023-04-01,1.50,Estimated from Reuters/LBMA market reports
2023-05-01,1.50,Estimated from Reuters/LBMA market reports
2023-06-01,1.10,Estimated from Reuters/LBMA market reports
2023-07-01,1.10,Estimated from Reuters/LBMA market reports
2023-08-01,1.50,Estimated from Reuters/LBMA market reports
2023-09-01,1.50,Estimated from Reuters/LBMA market reports
2023-10-01,2.30,Estimated from Reuters/LBMA market reports
2023-11-01,2.30,Estimated from Reuters/LBMA market reports
2023-12-01,1.50,Estimated from Reuters/LBMA market reports
2024-01-01,2.30,Estimated from Reuters/LBMA market reports
2024-02-01,2.30,Estimated from Reuters/LBMA market reports
2024-03-01,2.00,Estimated from Reuters/LBMA market reports
2024-04-01,2.00,Estimated from Reuters/LBMA market reports
2024-05-01,2.00,Estimated from Reuters/LBMA market reports
2024-06-01,1.60,Estimated from Reuters/LBMA market reports
2024-07-01,1.60,Estimated from Reuters/LBMA market reports
2024-08-01,2.00,Estimated from Reuters/LBMA market reports
2024-09-01,2.00,Estimated from Reuters/LBMA market reports
2024-10-01,2.80,Estimated from Reuters/LBMA market reports
2024-11-01,2.80,Estimated from Reuters/LBMA market reports
2024-12-01,2.00,Estimated from Reuters/LBMA market reports
2025-01-01,-0.70,Estimated from Reuters/LBMA market reports
2025-02-01,-0.70,Estimated from Reuters/LBMA market reports
2025-03-01,0.50,Estimated from Reuters/LBMA market reports
2025-04-01,0.50,Estimated from Reuters/LBMA market reports
2025-05-01,0.50,Estimated from Reuters/LBMA market reports
2025-06-01,0.10,Estimated from Reuters/LBMA market reports
